Objetivo 1,Objetivo 2
94799.282616,70038.240475
71544.456343,93785.009338
64712.909953999995,106889.320194
67697.16528100001,96478.48361000001
65283.144833,104493.585113
65368.885556,103637.826477
103675.383055,63995.244673
74414.051846,87013.771876
96553.138669,69900.993372
96687.569727,69019.837841
68246.036942,95241.00929599999
92403.932312,71505.507569
97507.207318,67434.61591699999
78800.678168,82651.679692
68246.036942,95241.00929599999
64006.711081,112392.444722
67557.31516900001,98165.467759
69107.54488,94286.710109
67702.112035,95887.611089
92403.932312,71505.507569
84060.12576299999,77192.63861
110061.041531,63418.620168999994
92794.25456,70935.553249
91784.78101800001,72925.382729
96767.882264,68072.73726899999
87610.833941,73377.937673
113509.200689,61501.911984
63774.707393,114927.838437
112222.5524,61953.474654
118236.336678,59453.328779
89723.290105,73018.361724
71867.15268900001,92772.06280100001
66688.535825,102170.537113
80233.973155,81753.930474
65910.291256,103071.934262
110778.727523,62555.569515
76285.863566,85587.915238
103675.383055,63995.244673
74852.865424,86094.651852
77773.946471,83813.325074
100243.833788,64748.62498
64065.573698,108791.36876400001
116059.731539,61028.303683
111784.871642,62273.60915
98211.560079,65893.274842
82334.309291,77356.784885
99391.60958599999,65190.253914999994
111784.871642,62273.60915
85136.005561,75284.744978
110778.727523,62555.569515
118236.336678,59453.328779
65910.291256,103071.934262
117845.08406600001,59877.168599
121358.030703,58912.625588
106842.58455900001,63617.883877
103317.703592,64018.67338
