Objetivo 1,Objetivo 2
75834.70576,85530.42755899999
68558.931616,97862.529296
68558.931616,97862.529296
98012.16016,68785.141295
69153.698863,92165.796198
106983.043584,66453.518335
79355.890533,81107.387592
68558.931616,97862.529296
68558.931616,97862.529296
82993.743271,77684.401551
106209.41043500001,66982.379505
68558.931616,97862.529296
68558.931616,97862.529296
79703.79586700001,80023.66374999999
75834.70576,85530.42755899999
75834.70576,85530.42755899999
95034.22245999999,71971.298196
106983.043584,66453.518335
90851.820217,73584.831505
80648.203196,78984.15238999999
74825.787633,90748.105583
106983.043584,66453.518335
106209.41043500001,66982.379505
106209.41043500001,66982.379505
101563.957947,68414.565038
68558.931616,97862.529296
68558.931616,97862.529296
83273.79215499999,77052.70633199999
76498.766446,83127.298043
66655.629303,100300.64331399999
106480.26666800001,66976.32091699999
75320.926746,87841.854163
77134.398492,82737.952786
68963.185002,97240.32470299999
68558.931616,97862.529296
66698.78509,99887.993884
83906.203918,74959.68273300001
77134.398492,82737.952786
75834.70576,85530.42755899999
75834.70576,85530.42755899999
68558.931616,97862.529296
106983.043584,66453.518335
67945.251001,98205.016767
106209.41043500001,66982.379505
106209.41043500001,66982.379505
98012.16016,68785.141295
82758.712795,78376.35509799999
68602.087403,97449.87986599999
75834.70576,85530.42755899999
80648.203196,78984.15238999999
