Algoritmo,Instancia,M1,M2,M3,Error
NSGA-II,KROAB100,78862.98159680273,82368.00591758302,19389.589354582025,0.5
SPEA,KROAB100,3355.7819321026404,3688.157486959255,1224.069792728178,0.4342105263157895
NSGA-II,KROAC100,69093.45872295693,78006.24920928462,8608.77754078215,0.5166666666666667
SPEA,KROAC100,4877.888497493554,6586.6945931504115,1187.8473201256868,0.5166666666666667
