Objetivo 1,Objetivo 2
134577.21178,106227.865185
134577.21178,106227.865185
129724.28657400001,107007.563022
126910.55682099999,112018.75714
144253.149397,100109.37646799999
134577.21178,106227.865185
141747.833162,102753.28430300001
129724.28657400001,107007.563022
139736.335368,103070.691859
144253.149397,100109.37646799999
128880.25944800001,107253.731708
134577.21178,106227.865185
134577.21178,106227.865185
136991.223062,104288.337302
124052.04407,112351.64438000001
134577.21178,106227.865185
134577.21178,106227.865185
128880.25944800001,107253.731708
137430.822825,103147.006435
120530.722338,113765.361323
139736.335368,103070.691859
137430.822825,103147.006435
137430.822825,103147.006435
128880.25944800001,107253.731708
134577.21178,106227.865185
