Objetivo 1,Objetivo 2
116794.33530199999,85112.39465
93172.310763,110361.00385
92695.536861,122085.418794
130275.51291599999,75382.24483099999
113332.953046,86805.98957599999
117131.427139,83464.544531
120922.766527,80531.027995
116834.447768,84320.511611
92695.536861,122085.418794
91849.69557099999,123290.500132
104342.468499,93438.360066
96398.548397,101221.939221
125878.43769699999,77097.74351
118850.45122799999,82255.860779
110324.718955,88594.819348
119439.375315,81706.657544
101644.050023,95208.729443
92695.536861,122085.418794
92695.536861,122085.418794
105056.888832,89246.97760099999
122316.676133,80008.048974
113360.243777,86041.71478000001
113958.306224,85915.152959
104461.360129,93120.539472
88350.30290800001,127863.93673500001
118850.45122799999,82255.860779
117131.427139,83464.544531
112759.156557,87981.53468299999
118850.45122799999,82255.860779
89868.810508,123994.63650600001
111105.035288,88079.241949
104342.468499,93438.360066
90593.030183,123743.347951
122665.023963,77385.399267
119439.375315,81706.657544
119439.375315,81706.657544
92695.536861,122085.418794
86567.111806,138898.85422
