Algoritmo,Instancia,M1,M2,M3,Error
NSGA-II,KROAB100,53226.738272975934,62184.783240925324,6830.415730915709,0.6538461538461539
SPEA,KROAB100,8267.062790639091,8637.232614339577,4766.748616731603,0.6538461538461539
NSGA-II,KROAC100,49478.51653424757,48338.73868531105,7413.660610708286,0.9393939393939394
SPEA,KROAC100,2420.818094006542,4233.051690902506,1985.9654185234301,0.8484848484848485
